id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
21	adelia r.	0.2337	-0.2536	4	2	2	1	1	2.1066	2019	1	2.1066
28	adiwiganda m.r.	-0.243	0.1193	3	3	3	1	0	0	2019	0	0
78	alamsyah a.	-0.2297	-0.1013	8	4	4	15	5	10.5328	2019	0.3333	0.7022
156	ariyanto e.	-0.2398	0.1195	3	3	3	3	0	0	2019	0	0
166	arzaki m.	0.0924	0.9101	9	3	8	8	3	6.3197	2019	0.375	0.79
179	astutiputri v.f.	-0.0116	-0.2135	1	4	4	1	3	6.3197	2019	3	6.3197
187	aulia s.	0.195	-0.007	2	3	3	7	15	31.5984	2019	2.1429	4.5141
220	bernatapi e.a.	-0.2296	-0.1015	8	4	4	1	0	0	2019	0	0
225	bisono y.g.	-0.0455	0.0293	6	3	3	1	1	2.1066	2019	1	2.1066
239	caesaron d.	0.6709	0.2704	10	2	4	2	3	6.3197	2019	1.5	3.1598
249	chandra y.w.	0.2353	-0.2526	4	2	2	1	0	0	2019	0	0
262	damayanti r.	-0.011	-0.217	1	11	12	3	6	12.6393	2019	2	4.2131
267	darmawan i.	0.1008	-0.6331	7	4	6	6	2	4.2131	2019	0.3333	0.7022
281	dewi l.m.	-0.0085	-0.2183	1	4	4	1	3	6.3197	2019	3	6.3197
291	dwi saputro i.r.	0.1839	-0.0115	2	4	7	1	3	6.3197	2019	3	6.3197
355	febriansyah r.	-0.0617	0.2178	5	4	4	1	0	0	2019	0	0
401	gunawan p.h.	-0.0092	-0.2141	1	4	4	17	8	16.8525	2019	0.4706	0.9913
402	gunawan r.	0.1012	-0.6331	7	4	6	4	1	2.1066	2019	0.25	0.5266
407	hadiwidjaja m.l.	-0.0104	-0.2195	1	4	4	1	3	6.3197	2019	3	6.3197
408	hadiyoso s.	0.1919	-0.0089	2	6	11	16	18	37.918	2019	1.125	2.3699
423	hanunggul p.m.	0.237	-0.254	4	2	3	1	0	0	2019	0	0
431	hartanto r.	0.1841	-0.0142	2	6	12	3	4	8.4262	2019	1.3333	2.8087
437	hasbialloh d.	-0.0626	0.2174	5	4	4	2	3	6.3197	2019	1.5	3.1598
461	hidayat r.	0.1951	-0.0041	2	2	4	6	6	12.6393	2019	1	2.1066
476	ibrahim n.	-0.2467	0.417	11	0	0	2	1	2.1066	2019	0.5	1.0533
477	ibrahim r.	0.8681	0.3759	12	0	0	1	0	0	2019	0	0
478	ibrahim y.	-0.8529	-0.4156	13	0	0	2	1	2.1066	2019	0.5	1.0533
479	ibraimi s.	-0.0161	0.9472	14	0	0	1	2	4.2131	2019	2	4.2131
480	ichwan a.a.	-0.3838	0.6785	15	0	0	1	1	2.1066	2019	1	2.1066
481	ihsani f.p.	-0.5006	-0.5071	16	0	0	1	0	0	2019	0	0
482	ike wahyuning w.	-0.788	0.3522	17	0	0	1	0	0	2019	0	0
483	ikhsan n.	-0.3478	0.8802	18	0	0	1	1	2.1066	2019	1	2.1066
484	imansyah t.	0.4375	-0.4323	19	0	0	1	0	0	2019	0	0
485	imran a.	-0.9403	0.1152	20	0	0	3	4	8.4262	2019	1.3333	2.8087
486	imrona m.	-0.7934	0.516	21	0	0	2	0	0	2019	0	0
487	indradi s.d.	-0.1268	-0.9395	22	0	0	1	0	0	2019	0	0
488	"indrawati, amalia f."	0.5558	-0.6205	23	0	0	1	0	0	2019	0	0
489	"indrawati, ulfa m."	0.0103	0.9475	24	0	0	1	0	0	2019	0	0
490	indwiarti i.	-0.7259	0.5543	25	0	0	1	0	0	2019	0	0
491	inomata y.	-0.0921	-0.5888	26	0	0	1	2	4.2131	2019	2	4.2131
492	insani a.	0.3998	0.8576	27	0	0	1	0	0	2019	0	0
493	insanudin e.	0.5765	-0.5208	28	0	0	1	0	0	2019	0	0
494	iqbal m.	-0.0723	-0.6482	29	0	0	2	1	2.1066	2019	0.5	1.0533
495	irawan a.i.	-0.4402	-0.7298	30	0	0	1	0	0	2019	0	0
496	irawan b.	0.4973	0.2432	31	0	0	15	5	10.5328	2019	0.3333	0.7022
497	irawan c.a.	-0.7523	-0.5157	32	0	0	1	0	0	2019	0	0
498	irawan h.	-0.8052	0.2635	33	0	0	1	0	0	2019	0	0
499	irfan t.	-0.5529	-0.3386	34	0	0	1	0	0	2019	0	0
500	isabella wibowo r.r.d.	-0.9436	0.0876	35	0	0	1	0	0	2019	0	0
501	iskandar m.w.	-0.3145	-0.0103	36	0	0	1	1	2.1066	2019	1	2.1066
502	iskandar r.f.	0.3292	-0.1407	37	0	0	2	0	0	2019	0	0
503	islami y.b.	-0.461	-0.1817	38	0	0	1	0	0	2019	0	0
504	ismail m.a.	0.7567	0.1463	39	0	0	2	1	2.1066	2019	0.5	1.0533
505	ismail m.t.	-0.7478	0.2423	40	0	0	1	0	0	2019	0	0
506	ismail z.h.	0.6425	-0.3278	41	0	0	1	0	0	2019	0	0
507	ismardi a.	-0.7953	-0.5144	42	0	0	1	0	0	2019	0	0
508	isnaini n.	0.7056	-0.3573	43	0	0	1	1	2.1066	2019	1	2.1066
509	isnan imran m.i.	-0.9013	-0.2873	44	0	0	1	0	0	2019	0	0
510	istikmal	0.1794	0.8017	45	0	0	1	0	0	2019	0	0
511	istikmal e.	0.1282	-0.444	46	0	0	1	0	0	2019	0	0
512	"istikmal, karna n."	-0.4308	0.5139	47	0	0	1	0	0	2019	0	0
513	"istikmal, subekti a."	-0.4962	0.3553	48	0	0	1	0	0	2019	0	0
