id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
6	"advanced functional materials (afm) laboratory, engineering physics, institut teknologi bandung, bandung, 40132, indonesia"	-0.0945	-0.8564	121	0	0	2	27	28.025	2019	13.5	14.0125
7	"advanced functional materials (afm) laboratory, engineering physics, institute of technology bandung, bandung, 40132, indonesia"	0.5705	0.6916	1	9	9	1	19	19.7213	2019	19	19.7213
8	"advanced functional materials laboratory, department of engineering physics, faculty of industry technology, institut teknologi bandung, bandung, indonesia"	-0.1069	0.4337	18	5	8	2	2	2.0759	2019	1	1.038
9	"advanced functional materials laboratory, department of engineering physics, institut teknologi bandung, bandung, 40132, indonesia"	0.4593	0.346	6	4	4	1	2	2.0759	2019	2	2.0759
10	"advanced functional materials research group, department of engineering physics, institute of technology bandung, ganesha 10, bandung, 40132, indonesia"	0.5798	0.6859	1	6	6	1	6	6.2278	2019	6	6.2278
11	"advanced functional materials research group, institut teknologi bandung jl. ganesha 10, bandung, 40132, indonesia"	0.3925	-0.6353	41	6	6	1	1	1.038	2019	1	1.038
16	"advanced materials processing group, engineering physics study program, institut teknologi bandung, bandung, 40132, indonesia"	0.4543	0.3478	6	5	5	1	0	0	2019	0	0
17	"advanced materials processing laboratory, department of engineering physics, institut teknologi bandung, bandung, 40132, indonesia"	0.4594	0.3455	6	4	4	1	2	2.0759	2019	2	2.0759
23	"aes center, institute of innovative research tokyo instiute of technology, tokyo, japan"	-0.0628	-0.1998	8	5	5	2	2	2.0759	2019	1	1.038
25	"agency for marine & fisheries research, ministry of marine affairs and fisheries, jakarta, 10110, indonesia"	-0.5818	0.7151	20	5	5	1	3	3.1139	2019	3	3.1139
26	"agency for marine & fisheries research, ministry of marine affairs and fisheries, jakarta, 14430, indonesia"	-0.5817	0.7151	20	4	4	1	6	6.2278	2019	6	6.2278
27	"agency for marine and fisheries research and development, ministry of marine affairs and fisheries, jakarta, indonesia"	-0.3016	-0.5875	5	8	8	1	2	2.0759	2019	2	2.0759
29	"agency for meteorology, climatology and geophysics, jalan angkasa i, no. 2, kemayoran, jakarta, indonesia"	-0.9289	-0.0871	32	8	8	1	1	1.038	2019	1	1.038
30	"agency for meteorology, climatology, and geophysics (bmkg), bandung, 40161, indonesia"	-0.3194	-0.8967	45	6	6	1	0	0	2019	0	0
31	"agency for meteorology, climatology, and geophysics (bmkg), jakarta, 10610, indonesia"	-0.3194	-0.8967	45	6	6	1	0	0	2019	0	0
32	"agency for meteorology, climatology, and geophysics (bmkg), jakarta, indonesia"	-0.2255	-0.4302	3	9	9	1	6	6.2278	2019	6	6.2278
35	"agency for the assessment and application of technology (bppt), jl. m.h thamrin no. 8 jakarta pusat, dki jakarta, 10340, indonesia"	0.5413	-0.6523	47	5	5	1	0	0	2019	0	0
39	"agency of research and development for marine and fisheries, jakarta, indonesia"	-0.3117	-0.6053	5	18	36	2	9	9.3417	2019	4.5	4.6708
44	"aix marseille université, cnrs, lce, umr 7376, aix-en-provence cedex 4, 13545, france"	-0.1792	0.6694	50	5	5	1	1	1.038	2019	1	1.038
46	"akashi college, national institute of technology, akashi, hyogo 674-8501, japan"	0.4588	0.3459	6	4	4	1	7	7.2657	2019	7	7.2657
47	"alaska center for climate assessment and policy, university of alaska fairbanks, fairbanks, al, united states"	-0.7067	-0.1404	48	5	5	1	5	5.1898	2019	5	5.1898
66	"animal hospital faculty of veterinary medicine, bogor agricultural institute, bogor, indonesia"	-0.1985	-0.0417	4	6	6	1	2	2.0759	2019	2	2.0759
76	"applied physics and medical imaging, california state university channel islands, camarillo, ca 93012, united states"	0.9021	-0.2984	43	3	4	2	3	3.1139	2019	1.5	1.5569
78	"applied physics and medical imaging, california state university, channel islands, ca, united states"	-0.2953	0.5489	96	3	6	2	3	3.1139	2019	1.5	1.5569
79	"archaeology research office of makassar, jl. pajjaiyyang no. 13, makassar, 90552, indonesia"	-0.8465	0.0262	28	6	6	1	3	3.1139	2019	3	3.1139
86	"association nature océan indien, petite ile, reunion"	0.7399	-0.0918	15	13	13	1	4	4.1518	2019	4	4.1518
114	"atmospheric science research group, bandung institute of technology, jl. ganesha. 10, coblong, kotamadya bandung, jawa barat, 40132, indonesia"	0.5411	-0.6525	47	5	5	1	0	0	2019	0	0
115	"atmospheric science research group, faculty of earth science and technology, institut teknologi bandung, bandung, indonesia"	-0.7067	-0.1405	48	5	5	1	5	5.1898	2019	5	5.1898
118	"atmospheric science research group, faculty of earth sciences and technology, institut teknologi bandung, indonesia"	0.8632	0.154	120	1	2	2	0	0	2019	0	0
121	"australia awards in indonesia, jakarta selatan, indonesia"	-0.2568	-0.4391	3	9	9	1	3	3.1139	2019	3	3.1139
123	"australian institute for innovative materials (aiim), university of wollongong, north wollongong, nsw 2500, australia"	0.5925	0.6735	1	7	7	1	4	4.1518	2019	4	4.1518
124	"australian institute of innovative materials (aiim), university of wollongong north wollongongnsw 2500, australia"	-0.5675	-0.7477	62	4	4	1	7	7.2657	2019	7	7.2657
125	"australian institute of innovative materials, university of wollongong, squires way, north wollongong, nsw 2500, australia"	0.5968	0.679	1	15	15	2	22	22.8352	2019	11	11.4176
127	"australian research centre for human evolution, environmental futures research institute, griffith university, brisbane, queensland 4111, australia"	-0.8469	0.0263	28	6	6	1	3	3.1139	2019	3	3.1139
128	"automotive and robotics program, computer engineering department, binus aso school of engineering, bina nusantara university, jakarta, 11480, indonesia"	0.0938	0.6843	2	12	12	1	0	0	2019	0	0
132	"bali international research center for banana (bircb), udayana university, bali, indonesia"	-0.2446	-0.4412	3	5	5	1	2	2.0759	2019	2	2.0759
139	"bandung institute of technology, bandung, indonesia"	-0.2078	-0.5166	12	18	18	8	39	40.4805	2019	4.875	5.0601
141	"bandung institute of technology, bandung, west java, indonesia"	-0.4647	0.7863	33	8	8	1	2	2.0759	2019	2	2.0759
145	"bandung institute of technology, department of industrial engineering, bandung, indonesia"	-0.3318	0.3262	122	0	0	3	0	0	2019	0	0
159	"bandung institute of technology, indonesia"	0.7732	0.2371	49	5	5	3	6	6.2278	2019	2	2.0759
167	"bandung institute of technology, pt. pln (persero), school of electrical engineering and informatics, jakarta, indonesia"	-0.1865	-0.095	19	2	4	2	0	0	2019	0	0
176	"bandung institute of technology, school of electrical engineering and informatics, bandung, indonesia"	-0.1864	-0.0953	19	5	7	46	1	1.038	2019	0.0217	0.0226
188	"barrer centre, department of chemical engineering, imperial college london, exhibition road, london, sw7 2az, united kingdom"	0.3868	-0.3536	16	4	7	3	49	50.8601	2019	16.3333	16.9534
189	"bc cancer agency, university of british columbia, vancouver, bc v6t 1z4, canada"	-0.9139	0.1711	14	14	14	1	4	4.1518	2019	4	4.1518
190	"beijing jiaotong university, state key laboratory of rail traffic control and safety, beijing, china"	-0.0699	-0.2004	8	1	1	2	0	0	2019	0	0
200	"binus graduate program, doctor of computer science, bina nusantara university jakarta, information system dept. buana perjuangan university, karawang, indonesia"	-0.5303	0.5255	71	4	4	1	0	0	2019	0	0
211	"biology department, 9th floor hasyim ashari building, faculty of mathematics and natural sciences, universitas negeri jakarta, jakarta, indonesia"	0.251	-0.8688	13	6	6	1	0	0	2019	0	0
212	"biology department, hasyim ashari building, faculty of mathematics and natural sciences, universitas negeri jakarta, jakarta, indonesia"	0.2505	-0.8693	13	4	4	1	0	0	2019	0	0
225	"biomedical enginering, universitas airlangga, surabaya, indonesia"	-0.0608	-0.1994	8	4	4	1	1	1.038	2019	1	1.038
229	"bioscience and biotechnology research center, institut teknologi bandung, bandung, 40132, indonesia"	0.4519	0.3482	6	7	7	2	2	2.0759	2019	1	1.038
234	"bioscience and biotechnology research center, institute of technology bandung, indonesia"	0.0267	0.9529	98	2	4	2	2	2.0759	2019	1	1.038
238	"bjerknes centre for climate research, bergen, norway"	-0.7068	-0.1404	48	5	5	1	5	5.1898	2019	5	5.1898
239	"blast impact and survivability research unit (bisru), department of mechanical engineering, university of cape town, rondebosch, 7700, south africa"	0.9056	0.2824	52	5	5	1	6	6.2278	2019	6	6.2278
246	"botram ocean technology research and management, indonesia"	-0.2256	-0.4304	3	9	9	1	6	6.2278	2019	6	6.2278
249	"british columbia children’s hospital research institute, vancouver, bc v5z 4h4, canada"	-0.9141	0.1714	14	14	14	1	4	4.1518	2019	4	4.1518
250	"british geological survey (bgs), nottingham, united kingdom"	-0.2036	-0.5223	12	7	7	1	23	23.8731	2019	23	23.8731
261	"byrd polar and climate research center, ohio state university, columbus, oh 43210, united states"	0.7967	0.4593	21	11	11	1	2	2.0759	2019	2	2.0759
266	"center for aeronautics technology, national institute of aeronautics and space, bogor, indonesia"	-0.6654	0.6209	37	3	3	2	1	1.038	2019	0.5	0.519
268	"center for applied climate information, indonesian agency for meteorology, climatology and geophysics, jakarta, 10720, indonesia"	0.5533	0.3412	10	4	4	1	0	0	2019	0	0
269	"center for applied coastal research, university of delaware (ud), newark, de, united states"	-0.2036	-0.5223	12	7	7	1	23	23.8731	2019	23	23.8731
271	"center for astrophysics | harvard & smithsonian, cambridge, ma, united states"	-0.4646	0.7862	33	8	8	1	2	2.0759	2019	2	2.0759
273	"center for earthquake science and technology, institut teknologi bandung, bandung, 40132, indonesia"	-0.3194	-0.8967	45	6	6	1	0	0	2019	0	0
279	"center for environmental studies, ipb university, bogor, 16144, indonesia"	-0.4891	-0.8246	63	4	4	1	0	0	2019	0	0
280	"center for experimental nuclear physics and astrophysics, department of physics, university of washington, seattle, wa, united states"	-0.8818	-0.2423	9	18	18	1	4	4.1518	2019	4	4.1518
281	"center for marine and coastal development, institut teknologi bandung, bandung, indonesia"	-0.2257	-0.4306	3	9	9	1	6	6.2278	2019	6	6.2278
282	"center for maritime biosciences studies – institute for sciences and community service, jenderal soedirman university, kampus karangwangkal, jl. dr. suparno, purwokerto, 53123, indonesia"	-0.1792	0.6695	50	5	5	1	1	1.038	2019	1	1.038
288	"center for pharmaceutical and medical technology, agency for the assessment and application of technology (bppt), puspiptek area, tangerang selatan, 15314, indonesia"	-0.6858	0.4323	22	11	11	1	7	7.2657	2019	7	7.2657
289	"center for pharmaceutical and medical technology, agency for the assessment and application of technology bppt, tangerang selatan, indonesia"	0.7925	-0.4891	29	9	9	1	4	4.1518	2019	4	4.1518
290	"center for radioisotope and radiopharmaceutical technology, national nuclear energy agency (batan), puspiptek area, serpong, south tangerang, indonesia"	-0.0287	-0.9342	30	9	9	1	2	2.0759	2019	2	2.0759
291	"center for radioisotope and radiopharmaceutical technology, national nuclear energy agency (batan), puspiptek area, south tangerang, serpong, indonesia"	0.5704	0.6917	1	9	9	1	19	19.7213	2019	19	19.7213
292	"center for regional environmental research, national institute for environmental studies, tsukuba, ibaraki 305-8506, japan"	0.3702	-0.7631	64	4	4	1	2	2.0759	2019	2	2.0759
296	"center for remote sensing, bandung institute of technology, jawa barat, 40132, indonesia"	-0.738	-0.0382	65	4	4	1	1	1.038	2019	1	1.038
297	"center for remote sensing, institut teknologi bandung, bandung, 40132, indonesia"	-0.2546	0.9103	51	5	5	1	1	1.038	2019	1	1.038
298	"center for remote sensing, institut teknologi bandung, bandung, indonesia"	-0.2447	-0.4413	3	5	5	1	2	2.0759	2019	2	2.0759
300	"center for research and development, agency for meteorology climatology and geophysics (badan meteorologi, klimatologi, dan geofisika), jakarta, 10720, indonesia"	0.7971	0.4594	21	11	11	1	2	2.0759	2019	2	2.0759
301	"center for research and development, indonesian agency for meteorology, climatology and geophysics, jakarta, 10720, indonesia"	0.5537	0.3407	10	4	4	1	0	0	2019	0	0
305	"center for underground physics, institute for basic science (ibs), daejeon, 34126, south korea"	0.3851	0.0052	7	19	61	4	26	26.987	2019	6.5	6.7467
306	"center for underground physics, institute for basic science (ibs), daejeon, south korea"	-0.8822	-0.2427	9	18	18	1	4	4.1518	2019	4	4.1518
307	"center for volcanology and geological hazard mitigation (cvghm), bandung, indonesia"	-0.1426	-0.9309	36	5	5	1	11	11.4176	2019	11	11.4176
309	"center for volcanology and geological hazard mitigation, geological agency, jalan diponegoro no. 57, bandung, 40122, indonesia"	-0.9288	-0.0871	32	8	8	1	1	1.038	2019	1	1.038
310	"center for water resources development, institute for research and community services, institut teknologi bandung, jl. ganesha 10, bandung, indonesia"	-0.4589	0.3881	66	4	4	1	0	0	2019	0	0
313	"center of engineering, modelling and applied social science (cecs), federal university of abc (ufabc), av. dos estados, 5001 - bangú, santo andré, sp 09210-580, brazil"	0.9056	0.2824	52	5	5	1	6	6.2278	2019	6	6.2278
315	"center of excellence in glass technology and materials science (cegm), nakhon pathom rajabhat university, nakhon pathom, 73000, thailand"	0.5458	0.3408	10	7	7	2	7	7.2657	2019	3.5	3.6329
316	"center of excellence in glass technology and materials science, nakhon pathom rajabhat university, nakhon pathom, 73000, thailand"	0.0834	0.934	67	4	4	1	6	6.2278	2019	6	6.2278
321	"center of research excellence in nanotechnology, king fahd university of petroleum & minerals, dhahran, 31261, saudi arabia"	0.2002	0.4303	68	4	4	1	2	2.0759	2019	2	2.0759
331	"centre for environmental sustainability and water security (ipasa), research institute for sustainable environment, faculty of civil engineering, universiti teknologi malaysia, utm johor bahrujohor 81310, malaysia"	0.5983	-0.3325	53	5	5	1	2	2.0759	2019	2	2.0759
333	"centre for micro-photonics faculty of science, engineering and technology, swinburne university of technology, melbourne, 3122, australia"	0.8562	-0.4009	69	4	4	1	3	3.1139	2019	3	3.1139
335	"centre for southern hemisphere oceans research, csiro oceans and atmosphere, hobart, australia"	-0.3016	-0.5876	5	8	8	1	2	2.0759	2019	2	2.0759
336	"centre for southern hemisphere oceans research, hobart, tas, australia"	-0.3113	-0.6052	5	18	36	2	9	9.3417	2019	4.5	4.6708
339	"centre of advanced electronic and communication engineering (paket), universiti kebangsaan malaysia, ukm, bangi, selangor 43600, malaysia"	0.4593	0.346	6	4	4	1	2	2.0759	2019	2	2.0759
343	"centre of tropical geoengineering, universitas teknologi malaysia, malaysia"	0.5484	-0.7715	70	4	4	1	1	1.038	2019	1	1.038
356	"chemical engineering department, institut teknologi bandung, jalan ganesa 10, bandung, 40132, indonesia"	0.2002	0.4304	68	4	4	1	2	2.0759	2019	2	2.0759
359	"chemical engineering department, institut teknologi bandung, jl. ganesha 10, bandung, 40132, indonesia"	0.3862	-0.3535	16	2	6	5	9	9.3417	2019	1.8	1.8683
363	"chemical engineering department, king fahd university of petroleum & minerals, dhahran, 31261, saudi arabia"	0.2002	0.4303	68	4	4	1	2	2.0759	2019	2	2.0759
366	"chemical engineering department, universitas jenderal achmad yani, jl. terusan jendral sudirman, cimahi, 40285, indonesia"	0.3862	-0.3535	16	2	3	2	1	1.038	2019	0.5	0.519
373	"chemistry department, 6th floor hasyim ashari building, faculty of mathematics and natural sciences, universitas negeri jakarta, jakarta, indonesia"	0.2509	-0.8689	13	6	6	1	0	0	2019	0	0
376	"chemistry department, faculty of mathematics and natural sciences, institute of technology bandungwest java, indonesia"	0.8451	0.3518	34	8	8	1	2	2.0759	2019	2	2.0759
377	"chemistry department, faculty of mathematics and natural sciences, syiah kuala university, darussalam, banda aceh, 23111 nad, indonesia"	0.0924	0.6898	2	11	11	1	1	1.038	2019	1	1.038
378	"chemistry department, faculty of mathematics and natural sciences, syiah kuala university, darussalam, banda aceh, 23111, indonesia"	0.0937	0.6842	2	12	12	1	0	0	2019	0	0
384	"chemistry department, institut teknologi bandung, jalan ganesa 10, bandung, 40132, indonesia"	0.2001	0.4302	68	4	4	1	2	2.0759	2019	2	2.0759
387	"chemistry department, king fahd university of petroleum & minerals, dhahran, 31261, saudi arabia"	0.2003	0.4304	68	4	4	1	2	2.0759	2019	2	2.0759
390	"chemistry, fmipa, institut teknologi bandung, bandung, indonesia"	-0.7581	0.1611	99	2	4	2	0	0	2019	0	0
392	"chinese university of hong kong, shatin, hong kong"	-0.738	-0.0383	65	4	4	1	1	1.038	2019	1	1.038
393	"chubu electric power co., inc.aichi, japan"	-0.2059	-0.0049	4	10	10	1	15	15.5694	2019	15	15.5694
394	"chungbuk national university, school of electrical engineering, cheongju city, south korea"	-0.1865	-0.0947	19	2	4	2	0	0	2019	0	0
395	"cibio inbio, university of porto, porto, portugal"	0.7399	-0.0917	15	13	13	1	4	4.1518	2019	4	4.1518
396	"cintra cnrs/ntu/thales umi 3288, research techno plaza, 50 nanyang drive, singapore, 637553, singapore"	0.5401	0.3408	10	7	7	1	11	11.4176	2019	11	11.4176
397	"city of scientific research and technology applications, new burg al arab, alexandria, egypt"	0.2482	-0.8714	13	8	9	2	2	2.0759	2019	1	1.038
401	"civil engineering department, computer sciences and engineering faculty, universitas komputer indonesia, jl. dipati ukur, bandung, 112-116, indonesia"	-0.4587	0.3881	66	4	4	1	0	0	2019	0	0
411	"civil engineering of andalas university, padang, indonesia"	0.4734	-0.7327	109	1	2	2	0	0	2019	0	0
412	"civil engineering of institute tech. of bandung, indonesia"	0.4732	-0.7327	109	1	2	2	0	0	2019	0	0
414	"civil engineering program, department of engineering, niigata university, niigata, japan"	-0.2058	-0.0049	4	10	10	1	15	15.5694	2019	15	15.5694
415	"climate and environmental physics group, university of bern, bern, 3012, switzerland"	0.7971	0.4593	21	11	11	1	2	2.0759	2019	2	2.0759
416	"climate change research centre and arc centre of excellence for climate extremes, university of new south wales, sydney, australia"	-0.3016	-0.5876	5	8	8	1	2	2.0759	2019	2	2.0759
417	"cnrs international ntu thales research alliances/umi 3288 (cintra), research techno plaza, 50 nanyang drive, border x block, level 6, singapore637553, singapore"	0.6581	-0.6708	35	8	8	1	1	1.038	2019	1	1.038
422	"cognitive engineering research group, faculty of engineering, universitas katolik indonesia atma jaya, jakarta, 12930, indonesia"	-0.184	-0.1063	19	4	4	1	1	1.038	2019	1	1.038
423	"college of chemistry and molecular engineering, qingdao university of science and technology, qingdao, 266042, china"	0.58	0.6864	1	6	6	1	6	6.2278	2019	6	6.2278
424	"college of earth, ocean and environment, university of delaware, newark, de, united states"	-0.3018	-0.5871	5	8	8	1	2	2.0759	2019	2	2.0759
426	"college of marine science, nanjing university of information science and technology, nanjing, jiangsu, 210044, china"	-0.5809	0.7144	20	4	4	1	2	2.0759	2019	2	2.0759
427	"college of science and technology, nihon university, chiyoda, tokyo, 101-0062, japan"	0.6584	-0.671	35	8	10	3	2	2.0759	2019	0.6667	0.692
436	"commonwealth scientific and industrial research organisation (csiro), hobart, tas, australia"	-0.3113	-0.6063	5	18	36	2	9	9.3417	2019	4.5	4.6708
442	"computer engineering department, faculty of engineering, bina nusantara university, 9 k. h. syahdan, jakarta, 11480, indonesia"	0.0927	0.6903	2	11	11	1	1	1.038	2019	1	1.038
443	"computer engineering department, faculty of engineering, bina nusantara university, 9 k.h. syahdan, jakarta, 11480, indonesia"	0.0939	0.6843	2	12	12	1	0	0	2019	0	0
446	"computer science departement, binus graduate program - doctor of computer science, bina nusantara university, jakarta, 11480, indonesia"	-0.184	-0.1063	19	4	4	1	1	1.038	2019	1	1.038
447	"computer science departement, school of computer science, bina nusantara university, jakarta, 11480, indonesia"	-0.184	-0.1063	19	4	4	1	1	1.038	2019	1	1.038
450	"computer science department, binus graduate program, doctor of computer science, bina nusantara university jakarta, indonesia"	-0.5302	0.5255	71	4	4	1	0	0	2019	0	0
456	"corporate communication, regulatory management unit, pt telekomunikasi indonesia, jakarta, indonesia"	-0.6653	0.6205	37	1	3	3	2	2.0759	2019	0.6667	0.692
458	"cultural property preservation office of heritage, jl. ujung pandang no. 1, makassar, 9017, indonesia"	-0.8465	0.0262	28	6	6	1	3	3.1139	2019	3	3.1139
466	"departamento de farmacología, facultad de medicina, universidad nacional autónoma de méxico, mexico city, 04510, mexico"	-0.9146	0.1712	14	14	14	1	4	4.1518	2019	4	4.1518
468	"departamento de geografía, universidad de concepción, concepción, 4070386, chile"	0.7969	0.4594	21	11	11	1	2	2.0759	2019	2	2.0759
484	"departement of physics, institute teknologi bandung, bandung, 40132, indonesia"	0.6311	0.0892	123	0	0	2	0	0	2019	0	0
489	"department for management of science and technology development, ton duc thang university, no.19 nguyen huu tho street, tan phong ward, district 7, ho chi minh city, viet nam"	0.5983	-0.3325	53	5	5	1	2	2.0759	2019	2	2.0759
490	"department of accelerator science, korea university, sejong, 30019, south korea"	0.3856	0.0036	7	19	61	4	26	26.987	2019	6.5	6.7467
491	"department of accelerator science, korea university, sejong, south korea"	-0.8819	-0.2429	9	18	18	1	4	4.1518	2019	4	4.1518
494	"department of agribusiness, faculty of agriculture, tompotika university, luwuk, indonesia"	-0.2061	-0.5187	12	4	4	1	0	0	2019	0	0
506	"department of agrotechnology, faculty of agriculture, tompotika university, luwuk, indonesia"	-0.2061	-0.5185	12	4	4	1	0	0	2019	0	0
507	"department of applied chemistry and, department of nanoscience and nanoengineering, faculty of science and engineering, waseda university, 3-4-1 okubo, shinjuku, tokyo 169-8555, japan"	-0.0287	-0.9341	30	9	9	1	2	2.0759	2019	2	2.0759
508	"department of applied physics and medical imaging, california state university channel islands, camarillo, ca 93012, united states"	0.9021	-0.2985	43	5	8	3	14	14.5315	2019	4.6667	4.8438
510	"department of applied physics, osaka city university, sumiyoshi-ku, osaka, 558-8585, japan"	0.383	0.8697	54	5	8	3	1	1.038	2019	0.3333	0.346
511	"department of applied physics, osaka university, suita, osaka 565-0871, japan"	0.4591	0.3462	6	4	4	1	7	7.2657	2019	7	7.2657
512	"department of aquaculture, faculty of marine and fisheries, universitas syiah kuala, banda aceh, 23111, indonesia"	0.7005	-0.3971	72	4	4	1	0	0	2019	0	0
519	"department of astronomy and bosscha observatory, fmipa institut teknologi bandung, jalan ganesha 10, bandung, 40132, indonesia"	0.7048	0.1277	114	1	2	2	0	0	2019	0	0
522	"department of astronomy, faculty of mathematics and natural sciences, institut teknologi bandung, bandung, indonesia"	-0.2568	-0.4388	3	9	9	2	3	3.1139	2019	1.5	1.5569
532	"department of astronomy, mt. holyoke college, united states"	-0.1627	0.9281	55	5	5	1	3	3.1139	2019	3	3.1139
534	"department of atmospheric and oceanic science, university of maryland, college park, md 20742, united states"	-0.5812	0.7149	20	11	13	3	11	11.4176	2019	3.6667	3.8059
535	"department of atmospheric and oceanic science, university of maryland, college park, md, united states"	-0.3069	-0.5967	5	25	44	3	11	11.4176	2019	3.6667	3.8059
536	"department of atmospheric and oceanic sciences, university of maryland, college park, md 20742, united states"	0.797	0.4596	21	11	11	1	2	2.0759	2019	2	2.0759
538	"department of basic biomedicine, faculty of medicine, universitas kristen indonesia, jakarta, indonesia"	-0.1985	-0.0416	4	6	6	1	2	2.0759	2019	2	2.0759
540	"department of biochemistry, genetics and immunology and biomedical research center (cinbio), university of vigo, vigo, spain"	0.7394	-0.092	15	13	13	1	4	4.1518	2019	4	4.1518
545	"department of bioenergy engineering and chemurgy, institut teknologi bandung, sumedang, 45363, indonesia"	0.785	-0.2841	26	2	4	2	3	3.1139	2019	1.5	1.5569
548	"department of biology education, state university of malang, semarang street 5, east java, 65145, indonesia"	-0.2946	0.7254	38	4	4	1	6	6.2278	2019	6	6.2278
550	"department of biology, bandung institute of technology, jl. ganesha no. 10, bandung, 40132, indonesia"	-0.6856	0.4321	22	11	11	1	7	7.2657	2019	7	7.2657
551	"department of biology, faculty of mathematics and natural sciences, universitas negeri jakarta, campus a, hasyim ashari building, jl. rawamangun muka east java, indonesia"	0.2485	-0.8711	13	4	4	1	2	2.0759	2019	2	2.0759
552	"department of biology, faculty of mathematics and sciences, tadulako university, palu, indonesia"	-0.2061	-0.5186	12	4	4	1	0	0	2019	0	0
554	"department of biology, universitas airlangga, surabaya, 60286, indonesia"	-0.2546	0.9102	51	5	5	1	1	1.038	2019	1	1.038
556	"department of biology, universitas indonesia, depok, indonesia"	0.2477	-0.8718	13	5	5	1	0	0	2019	0	0
559	"department of biomedical engineering, faculty of life science and technology, swiss german university (sgu), prominence tower, jalan jalur sutera barat no. 15, tangerang, banten, 15143, indonesia"	-0.2369	-0.9153	73	4	4	1	0	0	2019	0	0
560	"department of biomedical engineering, faculty of life sciences and technology, swiss german university, tangerang, 15143, indonesia"	0.3926	-0.6353	41	6	6	1	1	1.038	2019	1	1.038
563	"department of bioprocess and polymer engineering, school of chemical and energy engineering, faculty of engineering, universiti teknologi malaysia, skudai, johor, 81310, malaysia"	0.2509	-0.869	13	9	10	2	0	0	2019	0	0
566	"department of biotechnology and life science, tokyo university of agriculture and technology, koganei, tokyo, 184-8588, japan"	0.8457	0.3521	34	8	8	1	2	2.0759	2019	2	2.0759
569	"department of business management, institut teknologi sepuluh nopember (its), surabaya, indonesia"	-0.0186	0.9108	74	4	4	1	0	0	2019	0	0
570	"department of business management, texas health and science universitytx, united states"	-0.0186	0.9108	74	4	4	1	0	0	2019	0	0
571	"department of cell processing and transfusion, institute of medical science, university of tokyo, tokyo, japan"	0.7924	-0.4895	29	9	9	1	4	4.1518	2019	4	4.1518
572	"department of cell processing and transfusion, the institute of medical science, the university of tokyo, 7 chome-3-1 hongo, tokyo, 113-8654, japan"	-0.6858	0.4323	22	11	11	1	7	7.2657	2019	7	7.2657
573	"department of chemical and materials engineering, national yunlin university of science and technology, yunlin, 64002, china"	0.5401	0.3408	10	7	7	1	11	11.4176	2019	11	11.4176
577	"department of chemical engineering faculty of industrial technology, institut teknologi bandung, bandung, 40132, indonesia"	0.8564	-0.4008	69	4	4	1	3	3.1139	2019	3	3.1139
580	"department of chemical engineering, faculty of engineering, universitas indonesia, campus ui depokwest java 16425, indonesia"	0.8457	0.3521	34	8	8	1	2	2.0759	2019	2	2.0759
583	"department of chemical engineering, faculty of engineering, universitas sebelas maret, jl. ir. sutami 36 a, surakarta, central java, 57126, indonesia"	-0.864	-0.382	75	4	4	1	11	11.4176	2019	11	11.4176
585	"department of chemical engineering, faculty of industrial technology, bandung institute of technology, jalan ganesha no. 10, bandung, 40132, indonesia"	0.5988	-0.3322	53	5	5	1	2	2.0759	2019	2	2.0759
590	"department of chemical engineering, graduate school of engineering, hiroshima university, higashi hiroshima, 7398527, japan"	0.5402	0.3408	10	7	7	1	11	11.4176	2019	11	11.4176
591	"department of chemical engineering, institut teknologi bandung (itb), ganesha 10, bandung, 40132, indonesia"	-0.2946	0.7254	38	4	4	1	6	6.2278	2019	6	6.2278
592	"department of chemical engineering, institut teknologi bandung, bandung, 40132, indonesia"	0.7853	-0.2839	26	10	13	11	51	52.936	2019	4.6364	4.8124
593	"department of chemical engineering, institut teknologi bandung, bandung, indonesia"	0.3607	0.7414	17	5	5	2	12	12.4555	2019	6	6.2278
595	"department of chemical engineering, institut teknologi bandung, ganesha 10, bandung, 40132, indonesia"	-0.2946	0.7253	38	4	4	2	6	6.2278	2019	3	3.1139
598	"department of chemical engineering, institut teknologi bandung, jl. ganesha 10, bandung, 40132, indonesia"	0.3867	-0.3536	16	4	13	9	92	95.4925	2019	10.2222	10.6103
601	"department of chemical engineering, jenderal achmad yani university, jl. terusan jendral sudirman, po box 148, cimahi, west java, indonesia"	0.3869	-0.3537	16	4	4	1	18	18.6833	2019	18	18.6833
602	"department of chemical engineering, monash university, clayton, vic 3800, australia"	0.571	0.6917	1	9	9	1	19	19.7213	2019	19	19.7213
606	"department of chemical engineering, national taiwan university, no. 1, sec. 4, roosevelt road, taipei, 10617, taiwan"	0.58	0.6863	1	6	6	1	6	6.2278	2019	6	6.2278
611	"department of chemical engineering, universitas brawijaya, jl. mayjen haryono 167, malang, 65145, indonesia"	0.3868	-0.3536	16	4	9	3	65	67.4675	2019	21.6667	22.4892
612	"department of chemical engineering, universitas gadjah mada, yogyakarta, 55281, indonesia"	0.7849	-0.2844	26	2	4	2	3	3.1139	2019	1.5	1.5569
616	"department of chemical engineering, university of indonesia, jl. margonda raya, depok, 16424, indonesia"	-0.6859	0.4322	22	11	11	1	7	7.2657	2019	7	7.2657
